Name, Date, City, State, Reason
 Augustus Pond, July 7,Tupelo,Miss.,ATTEMPTED RAPE
 William Carter, Dec. 23,Winston County,Miss.,MURDER
 Daniel McDonald, Dec. 26,Winston County,Miss.,MURDER
 Ready Murdock,June 4,Yazoo,Miss.,ALLEGED RAPE
 Joseph Johnson, July 2,Hiller's Creek,Mo.,RAPE
 UlyssesHayden, June 29,Monett,Mo.,MURDER
 John Buckner,Jan. 17,Valley Park,Mo.,RAPE
 unknown, Jan. 27,Verona,Mo.,RAPE
 SeymourNewland, April 15,Rushsylvania,Ohio,RAPE
 Roscoe Parker, Jan. 12,West Union,Ohio,MURDER
Richard Puryea, March 15,Stroudsburg,Pa.,MURDER
 James Nelson,July 12,Abbeyville,S.C.,GIVING INFORMATION
Jefferson Crawford, June 2,Bethesda,S.C.,MURDER
 unknown, Nov. 23,Landrum,S.C.,UNKNOWN OFFENSES
 Harry Gill, June 8,West Lancaster,S.C.,UNKNOWN OFFENSES
unknown Negro, Dec. 17,Williamston,S.C.,MURDER
 Lamsen Gregory,March 6,Bell's Depot,Tenn.,UNKNOWN OFFENSES
 James Bell, July 7,Charlotte,Tenn.,MURDER
William Bell, July 14,Dixon,Tenn.,BARN BURNING
 Frank Ballard,June 1,Jackson,Tenn.,ATTEMPTED MURDER
 Henry Montgomery,April 18,Lewisburg,Tenn.,LARCENY
 Daniel Hawkins, Sept. 1,Millington,Tenn.,BARN BURNING
 Robert Haynes,Sept. 1,Millington,Tenn.,BARN BURNING
 Warner Williams, Sept. 1,Millington,Tenn.,BARN BURNING
 Edward Hall, Sept. 1,Millington,Tenn.,BARN BURNING
 JohnHaynes, Sept. 1,Millington,Tenn.,BARN BURNING
 Graham White, Sept. 1,Millington,Tenn.,BARN BURNING
 William Nershbread, Aug.12,Rossville,Tenn.,RAPE
Needham Smith, Nov. 10,Tipton County,Tenn.,RAPE
 Henry McCreeg, Feb. 11,nearPioneer,Tenn.,RAPE
 James Allen,Dec. 20,Brownsville,Tex.,ARSON
 Henry Gibson, Oct. 8,Fairfield,Tex.,ATTEMPTED RAPE
 HenryScott, May 17,Jefferson,Tex.,MURDER
 Jesse Dillingham,Feb. 10,Smokeyville,Tex.,TRAIN WRECKING
 John Williams, June 29,Sulphur,Tex.,MURDER
 Lon Hall, June 13,Sweethouse,Tex.,MURDER
 Bascom Cook, June 13,Sweethouse,Tex.,MURDER
 William Griffith, July 20,Woodville,Tex.,RAPE
 Isaac Kemp,June 8,Cape Charles,Va.,MURDER
 Samuel Wood,May 17,Gates City,Va.,WITHOUT CAUSE
 Lawrence Younger, Nov. 10,Lloyd,Va.,MURDER
 James Robinson, April27,Manassas,Va.,RAPE
 Benjamin White, April 27,Manassas,Va.,RAPE
 Henderson Hollander, Sept. 2,Elkhorn,W. Va.,MURDER
 Mrs. TeddyArthur, Dec. 5,Lincoln County,W. Va.,UNKNOWN OFFENSES
 unknown Negro,May 9,,West Texas.,WRITING LETTER TO WHITE WOMAN
