Name, Date, City, State, Reason
 Louisa Carter, Sept. 15,Jackson,Miss.,ALLEGED WELL POISONING
 W.A.Haley, Sept. 15,Jackson,Miss.,ALLEGED WELL POISONING
 Rufus Bigley, Sept. 16,Jackson,Miss.,ALLEGED WELL POISONING
 John Hughes,Feb. 18,Moberly,Mo.,INSULTING WHITES
 Isaac Lincoln, June 2,Fort Madison,S.C.,INSULTING WHITES
 Daniel Adams,April 20,Selina,Kan.,MURDEROUS ASSAULT
 Charles Martin,July 21,Shelby Co.,Tenn.,NO OFFENSE
 William Steen, July 30,Paris,Miss.,NO OFFENSE
 unknown negro, Aug. 31,Yarborough,Tex.,NO OFFENSE
 unknown negro, Sept. 30,Houston,Tex.,NO OFFENSE
 Mack Segars, Dec. 28,Brantley,Ala.,NO OFFENSE
 Charles T. Miller,July 7,Bardwell,Ky.,ALLEGED RAPE
 Daniel Lewis, Aug. 10,Waycross,Ga.,ALLEGED RAPE
 James Taylor, Aug. 10,Waycross,Ga.,ALLEGED RAPE
 John Chambers, Aug. 10,Waycross,Ga.,ALLEGED RAPE
 Henry G. Givens,Dec. 16,Nebro,Ky.,ALLEGED STOCK POISONING
 Sloan Allen,Dec. 23,,West Mississippi.,SUSPECTED MURDER
 Andy Blount,Feb. 14,Chattanooga,Tenn.,SUSPICION OF RAPE
 William Ferguson,Dec. 19,Adele,Ga.,TURNING STATE'S EVIDENCE
 James Williams,Jan. 19,Pickens Co.,Ala.,RAPE
 unknown negro, Feb. 11,ForestHill,Tenn.,RAPE
 Joseph Hayne or Paine, Feb. 26,Jellico,Tenn.,RAPE
Abner Anthony, Nov. 1,Hot Springs,Va.,RAPE
 Thomas Hill, Nov. 1,Spring Place,Ga.,RAPE
 John Peterson,April 24,Denmark,S.C.,RAPE
 Samuel Gaillard, May 6,----,S.C.,RAPE
 Haywood Banks or Marksdale, May 10,Columbia,S.C.,RAPE
 IsraelHalliway, May 12,Napoleonville,La.,RAPE
 unknown negro, May 12,Wytheville,Va.,RAPE
 John Wallace, May31,Jefferson Springs,Ark.,RAPE
 Samuel Bush, June 3,Decatur,Ill.,RAPE
 L.C. Dumas, June 8,Gleason,Tenn.,RAPE
 William Shorter, June 13,Winchester,Va.,RAPE
 George Williams, June 14,near Waco,Tex.,RAPE
Daniel Edwards, June 24,Selina or Selma,Ala.,RAPE
 Ernest Murphy, June 27,Daleville,Ala.,RAPE
 unknown negro, July 6,Poplar Head,La.,RAPE
 unknown negro, July 6,Poplar Head,La.,RAPE
 Robert Larkin, July 12,Oscola,Tex.,RAPE
 WarrenDean, July 17,Stone Creek,Ga.,RAPE
 unknown negro, July 21,Brantford,Fla.,RAPE
John Cotton, July 17,Connersville,Ark.,RAPE
 Lee Walker, July 22,New Albany,Miss.,RAPE
 ---- Handy,July 26,Suansea,S.C.,RAPE
 William Thompson, July 30,Columbia,S.C.,RAPE
 Isaac Harper, July 28,Calera,Ala.,RAPE
 Thomas Preston, July 30,Columbia,S.C.,RAPE
 Handy Kaigler, July 30,Columbia,S.C.,RAPE
 MonroeSmith, Aug. 13,Springfield,Ala.,RAPE
 negro tramp, Aug. 19,near Paducah,Ky.,RAPE
 John Nilson, Aug.21,near Leavenworth,Kan.,RAPE
 Jacob Davis, Aug. 23,Green Wood,S.C.,RAPE
 William Arkinson, Sept. 2,McKenney,Ky.,RAPE
 unknown negro, Sept. 16,Centerville,Ala.,RAPE
 Jessie Mitchell, Sept. 16,Amelia C.H.,Va.,RAPE
Perry Bratcher, Sept. 25,New Boston,Tex.,RAPE
 William Lacey, Oct. 9,Jasper,Ala.,RAPE
 John Gamble,Oct. 22,Pikesville,Tenn.,RAPE
